variant,pid,seed,prompt,subset,n_frames,flow_total,flow_global,flow_residual,residual_frac,flow_total_p95,residual_autocorr,zoom_abs,dynamic_degree_score,dynamic_degree,subject_consistency,background_consistency,temporal_flicker,warp_error,sharpness,colorfulness,clip_t,vqascore,vqa_yes,vqa_min_q,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
S-bi-causvid,P25,5.0,a giraffe wearing sunglasses roller-skating down a boardwalk,rare,81.0,17.45385386943817,11.782646049559116,14.426256448030472,0.8265369774152845,25.28601779937744,0.8414239850275164,0.014893066103104502,34.1248658657074,1.0,0.9579181671142578,0.981529712677002,0.9532645344734192,0.027347268094308673,253.04065611403553,70.9015884399414,0.2422296106815338,0.6197192668914795,0.6407041549682617,0.611052393913269,74.88593292236328,0.48077309131622314,0.4774472117424011,0.6559310555458069
S-bi-causvid,P17,6.0,"a red race car drifting around a tight corner on a wet track, tires smoking",fast,81.0,15.992392820119857,12.949553155899048,6.916968707740307,0.43251615646421515,47.330172157287556,0.7040832746565244,0.006346396541630384,35.88412461280823,1.0,0.9359537363052368,0.96112459897995,0.9465318322181702,0.026677958422806115,1024.2188564688356,61.58055114746094,0.26145270466804504,0.8413494825363159,0.8302472829818726,0.7749179601669312,72.97383117675781,0.37942278385162354,0.42589470744132996,0.6215057373046875
S-bi-causvid,P29,5.0,a full glass of water tipping over on a table and spilling across the surface,physics,81.0,3.9491627678275107,1.3196714668534697,3.4997659001499413,0.8862042968846567,15.225762891769406,0.8326942172210859,0.004955682084982982,28.959287679195405,1.0,0.9171733856201172,0.9770333170890808,0.9542058110237122,0.029140991537133232,465.4879676354168,63.9550895690918,0.24203915894031525,0.49023154377937317,0.5623676280180613,0.3682793080806732,66.10206604003906,0.355752170085907,0.401986300945282,0.5420187711715698
S-bi-causvid,P11,3.0,A person is sweeping floor,general,81.0,1.6869315154850484,0.05830568760866299,1.668239067029208,0.9889186744079888,5.1166801929473875,0.5574762710006559,0.00015267361370661093,25.047786521911622,1.0,0.9565759897232056,0.9753177762031555,0.9730158448219299,0.01594125385163352,185.3297560822767,129.92831420898438,0.23056913912296295,0.7531399726867676,0.6830545961856842,0.5261732935905457,72.54808044433594,0.5437542796134949,0.5092024207115173,0.6780178546905518
S-bi-causvid,P16,7.0,a surfer riding a large barreling wave and getting wiped out by the whitewater,fast,81.0,4.541807389259338,3.3557160422205925,2.830749813467264,0.6232649136325393,6.077966427803039,0.4319379953159561,0.005845426816813415,9.523368525505067,0.0,0.9063141942024231,0.9862808585166931,0.9674139022827148,0.016198436461854725,307.266643612961,71.57859802246094,0.2330387979745865,0.5880544185638428,0.618743360042572,0.31446975469589233,69.83067321777344,0.5628001689910889,0.423893004655838,0.5835695266723633
S-bi-causvid,P00,5.0,a horse taking a peaceful walk,general,81.0,6.403020386397839,3.444627484679222,5.141698109731078,0.8030112347670377,11.435925102233886,0.3957112447348786,0.007665048527269391,17.458396220207213,1.0,0.9758049249649048,0.9865774512290955,0.9603848457336426,0.01628088535508141,265.10144121142633,69.03229522705078,0.21576771140098572,0.5668713450431824,0.7380772233009338,0.6805595755577087,74.13496398925781,0.5498647689819336,0.4663263261318207,0.6631292700767517
S-bi-causvid,P05,6.0,A person is playing guitar,general,81.0,0.8448449061252177,0.2627233708743006,0.7120307266712189,0.8427936047377689,2.1343470096588133,0.7865011499839827,0.0003632939509998323,8.319781827926636,0.0,0.9949737787246704,0.9873763918876648,0.9827919006347656,0.009334414394106715,640.0522156966211,96.29289245605469,0.22787268459796906,0.7386927604675293,0.6013504266738892,0.6013504266738892,75.4194564819336,0.679894208908081,0.4519883394241333,0.6740775108337402
S-bi-causvid,P09,1.0,a cow chewing cud while resting in a tranquil barn,general,81.0,1.51343589797616,1.2592502027750014,0.6014689536765218,0.39741924785951416,2.090166997909546,0.470358591205049,0.0015681291813962161,2.3536086201667787,0.0,0.9946256875991821,0.9885810017585754,0.9818291068077087,0.005693404446355998,384.0138140807775,93.1016845703125,0.19704049825668335,0.39936816692352295,0.5813108086585999,0.3905636668205261,73.4644775390625,0.5903483033180237,0.5130458474159241,0.6620851159095764
S-bi-causvid,P08,7.0,"In a still frame, a stop sign",general,81.0,0.5578130361624062,0.3783621470443904,0.4099854197818786,0.7349858433151946,1.369628483057022,0.23028472076576684,0.0005991882119815272,3.2115165174007414,0.0,0.9797243475914001,0.9462360739707947,0.9872410297393799,0.007910788143635727,330.6693410752577,99.40274047851562,0.1760392040014267,0.5124967098236084,0.4577362835407257,0.4577362835407257,77.9902572631836,0.46542295813560486,0.5265772342681885,0.7127907276153564
S-bi-causvid,P19,3.0,two dogs playing tug-of-war with a rope toy in a backyard,multi,81.0,0.9298474624752998,0.6073224222287535,0.696688724309206,0.749249745979671,1.5654473364353179,0.03785187377461932,0.00124917192324574,5.311969774961471,0.0,0.9889740347862244,0.9802588820457458,0.9793155193328857,0.009799941041273996,128.66855270620096,83.62549591064453,0.2664991319179535,0.599877655506134,0.5261874198913574,0.4638974666595459,74.27450561523438,0.5094369053840637,0.46993064880371094,0.5943042039871216
